cluster_id,skill,skill_n_in_cluster,cluster_n_jobs,skill_share_in_cluster,skill_n_overall,total_clustered_jobs,skill_share_overall,lift
6,Business Intelligence,2,40,5.0,60,806,7.4,0.67
6,PostgreSQL,2,40,5.0,71,806,8.8,0.57
6,Data Governance,2,40,5.0,80,806,9.9,0.5
6,Data Engineering,2,40,5.0,102,806,12.7,0.4
6,Tableau,2,40,5.0,109,806,13.5,0.37
6,Data Warehouse,2,40,5.0,147,806,18.2,0.27
6,A/B Testing,1,40,2.5,20,806,2.5,1.01
6,Google Sheets,1,40,2.5,21,806,2.6,0.96
6,Looker,1,40,2.5,39,806,4.8,0.52
6,SQL Server,1,40,2.5,63,806,7.8,0.32
6,Data Lake,1,40,2.5,70,806,8.7,0.29
6,GCP,1,40,2.5,83,806,10.3,0.24
6,Data Visualization,1,40,2.5,86,806,10.7,0.23
6,Statistics,1,40,2.5,136,806,16.9,0.15
7,Data Analysis,59,59,100.0,368,806,45.7,2.19
7,Statistics,3,59,5.1,136,806,16.9,0.3
7,Business Intelligence,2,59,3.4,60,806,7.4,0.46
7,SQL,2,59,3.4,372,806,46.2,0.07
7,C++,1,59,1.7,19,806,2.4,0.72
7,Data Governance,1,59,1.7,80,806,9.9,0.17
7,Data Quality,1,59,1.7,124,806,15.4,0.11
7,Machine Learning,1,59,1.7,233,806,28.9,0.06
7,Python,1,59,1.7,335,806,41.6,0.04
