cluster_id,n_jobs,pct_jobs,dominant_family,dominant_family_n,dominant_family_share,top_families,top_domains,mean_silhouette,pct_negative_silhouette,mean_n_skills,quality_flag,most_common_skills,most_distinctive_skills
5,144,20.3,DATA_ENGINEER,98,68.1,"DATA_ENGINEER (98, 68.1%); DBA_DATABASE (10, 6.9%); DATA_SCIENTIST (7, 4.9%); DATA_ANALYST (6, 4.2%); BUSINESS_ANALYST (5, 3.5%)","Data Engineering (115, 79.9%); Analytics (14, 9.7%); AI / Machine Learning (9, 6.2%); Governance & Architecture (6, 4.2%)",0.089,11.8,14.74,low_confidence,SQL (77%); Data Warehouse (58%); Python (56%); Database (53%); ETL (53%); Data Management (51%),"dbt (22%, lift 4.2); Hadoop (22%, lift 4.1); Airflow (33%, lift 4.1); Kafka (27%, lift 4.0); Spark (44%, lift 3.9); ELT (34%, lift 3.8)"
6,124,17.5,DATA_ANALYST,48,38.7,"DATA_ANALYST (48, 38.7%); BI (29, 23.4%); RISK_FRAUD_ANALYST (13, 10.5%); DATA_SCIENTIST (10, 8.1%); BUSINESS_ANALYST (8, 6.5%)","Analytics (99, 79.8%); AI / Machine Learning (11, 8.9%); Data Engineering (7, 5.6%); Data Leadership (4, 3.2%)",0.053,19.4,10.62,low_confidence,SQL (80%); Power BI (77%); Reporting (73%); Data Analysis (69%); Python (55%); Statistics (50%),"Looker (21%, lift 4.0); Tableau (49%, lift 3.8); Data Visualization (40%, lift 3.7); Power BI (77%, lift 3.1); Statistics (50%, lift 3.0); Business Intelligence (20%, lift 2.5)"
7,113,15.9,AI_ENGINEER,68,60.2,"AI_ENGINEER (68, 60.2%); GENAI_LLM (11, 9.7%); DATA_ENGINEER (8, 7.1%); ML_ENGINEER (6, 5.3%); DATA_LEADERSHIP (5, 4.4%)","AI / Machine Learning (91, 80.5%); Data Engineering (8, 7.1%); Analytics (6, 5.3%); Data Leadership (5, 4.4%)",0.064,19.5,9.31,low_confidence,AI (73%); LLM (67%); Python (66%); Machine Learning (65%); API (60%); Database (39%),"JavaScript (22%, lift 5.2); LLM (67%, lift 4.0); AI (73%, lift 3.5); NLP (21%, lift 3.1); API (60%, lift 3.1); Git (27%, lift 2.6)"
0,93,13.1,BUSINESS_ANALYST,79,84.9,"BUSINESS_ANALYST (79, 84.9%); PRODUCT_ANALYST (4, 4.3%); DATA_ENGINEER (2, 2.2%); DATA_ANALYST (2, 2.2%); RISK_FRAUD_ANALYST (2, 2.2%)","Analytics (88, 94.6%); Data Engineering (2, 2.2%); Data Leadership (1, 1.1%); Governance & Architecture (1, 1.1%)",0.3,2.2,3.63,ok,Business Analysis (88%); English (45%); Agile (38%); ERP (26%); SQL (25%); Data Analysis (20%),"Business Analysis (88%, lift 5.0); Agile (38%, lift 3.7); ERP (26%, lift 3.2); English (45%, lift 1.3); SQL (25%, lift 0.5); Data Analysis (20%, lift 0.5)"
2,78,11.0,DATA_ANALYST,31,39.7,"DATA_ANALYST (31, 39.7%); BUSINESS_ANALYST (27, 34.6%); BI (9, 11.5%); RISK_FRAUD_ANALYST (5, 6.4%); DATA_ENGINEER (2, 2.6%)","Analytics (72, 92.3%); Data Engineering (3, 3.8%); Governance & Architecture (2, 2.6%); AI / Machine Learning (1, 1.3%)",0.215,0.0,6.79,ok,Excel (100%); Data Analysis (73%); Reporting (69%); Power BI (59%); SQL (56%); English (38%),"Excel (100%, lift 6.8); Power BI (59%, lift 2.4); Data Analysis (73%, lift 1.8); Reporting (69%, lift 1.8); Tableau (23%, lift 1.8); Statistics (22%, lift 1.3)"
3,63,8.9,AI_ENGINEER,38,60.3,"AI_ENGINEER (38, 60.3%); CV_NLP (10, 15.9%); DATA_SCIENTIST (7, 11.1%); ML_ENGINEER (2, 3.2%); DATA_ENGINEER (2, 3.2%)","AI / Machine Learning (60, 95.2%); Data Engineering (2, 3.2%); Data Leadership (1, 1.6%)",0.274,0.0,13.68,ok,Python (97%); PyTorch (92%); TensorFlow (87%); Machine Learning (86%); AI (68%); Deep Learning (65%),"PyTorch (92%, lift 11.1); TensorFlow (87%, lift 10.9); scikit-learn (44%, lift 9.3); Computer Vision (48%, lift 7.3); Deep Learning (65%, lift 7.2); NLP (33%, lift 4.9)"
1,55,7.8,BUSINESS_ANALYST,20,36.4,"BUSINESS_ANALYST (20, 36.4%); DATA_ANALYST (14, 25.5%); RISK_FRAUD_ANALYST (11, 20.0%); DATA_ENGINEER (2, 3.6%); DATA_LEADERSHIP (2, 3.6%)","Analytics (47, 85.5%); AI / Machine Learning (2, 3.6%); Data Engineering (2, 3.6%); Data Leadership (2, 3.6%)",0.261,0.0,2.55,low_confidence,Data Analysis (89%); Reporting (49%); English (22%); SQL (13%); Data Management (11%); Statistics (9%),"Data Analysis (89%, lift 2.2); Reporting (49%, lift 1.3); English (22%, lift 0.6)"
4,39,5.5,DATA_GOVERNANCE,19,48.7,"DATA_GOVERNANCE (19, 48.7%); DATA_ENGINEER (5, 12.8%); DATA_ARCHITECT (4, 10.3%); DATA_ANALYST (3, 7.7%); BUSINESS_ANALYST (2, 5.1%)","Governance & Architecture (23, 59.0%); Data Engineering (6, 15.4%); Analytics (6, 15.4%); Data Leadership (2, 5.1%)",0.217,2.6,6.08,ok,Data Governance (90%); Data Quality (54%); Data Analysis (49%); Data Science (33%); Data Management (31%); SQL (28%),"Data Governance (90%, lift 8.3); Data Quality (54%, lift 3.3); Data Science (33%, lift 1.6); Data Warehouse (26%, lift 1.3); Data Analysis (49%, lift 1.2); Data Management (31%, lift 1.1)"
