topic_id,n_jobs,pct_jobs,dominant_family,dominant_family_n,dominant_family_share,top_families,top_domains,top_terms,interpretable,sample_titles
1,183,25.4,BUSINESS_ANALYST,42,23.0,"BUSINESS_ANALYST (42, 23.0%); DATA_ANALYST (29, 15.8%); DATA_ENGINEER (23, 12.6%); BI (22, 12.0%); RISK_FRAUD_ANALYST (13, 7.1%)","Analytics (109, 59.6%); Data Engineering (26, 14.2%); AI / Machine Learning (26, 14.2%); Governance & Architecture (14, 7.7%)",business; systems; technical; development; performance; across; ensure; design; solutions; communication,False,Customer & Product Analytics Executive; Marketing Intelligence Manager; Data Analyst and Process Improvement; 131268 - Financial Planning & Analysis Specialist - FMCG; Senior Business Intelligence Executive
2,136,18.9,AI_ENGINEER,87,64.0,"AI_ENGINEER (87, 64.0%); CV_NLP (11, 8.1%); DATA_SCIENTIST (11, 8.1%); GENAI_LLM (8, 5.9%); ML_ENGINEER (7, 5.1%)","AI / Machine Learning (127, 93.4%); Data Engineering (5, 3.7%); Data Leadership (3, 2.2%); Analytics (1, 0.7%)",ai; learning; llm; machine; machine learning; python; engineer; ai engineer; vision; pytorch,True,AI/ML Engineer; AI Engineer with Leading Korean AI Entrepreneurs; Applied AI Engineer; AI Engineer; AI Engineer
3,95,13.2,DATA_ENGINEER,73,76.8,"DATA_ENGINEER (73, 76.8%); DATA_ARCHITECT (5, 5.3%); DATA_ANALYST (4, 4.2%); BI (3, 3.2%); BUSINESS_ANALYST (3, 3.2%)","Data Engineering (77, 81.1%); Analytics (10, 10.5%); Governance & Architecture (6, 6.3%); AI / Machine Learning (2, 2.1%)",lake; data warehouse; warehouse; data lake; etl; data engineer; elt; spark; lake data; airflow,True,Senior Data Engineer; Data Engineer; Senior Data Engineer; Senior Data Engineer - TNTech - 3K040; Data Engineer
4,69,9.6,BUSINESS_ANALYST,65,94.2,"BUSINESS_ANALYST (65, 94.2%); PRODUCT_ANALYST (2, 2.9%); DATA_ANALYST (1, 1.4%); DATA_ENGINEER (1, 1.4%)","Analytics (68, 98.6%); Data Engineering (1, 1.4%)",business analyst; business; analyst; business analysis; agile; erp; analyst domain; expertise business; office business; agile business,True,Sr/Leader Business Analyst; Business Analyst; Business Analyst | Lending; Business Analyst; Expert/Sr. IT Business Analyst
7,64,8.9,DATA_ANALYST,36,56.2,"DATA_ANALYST (36, 56.2%); BI (11, 17.2%); BUSINESS_ANALYST (6, 9.4%); DATA_GOVERNANCE (3, 4.7%); DATA_LEADERSHIP (3, 4.7%)","Analytics (55, 85.9%); Governance & Architecture (3, 4.7%); Data Leadership (3, 4.7%); AI / Machine Learning (2, 3.1%)",bi; power bi; power; tableau; data analyst; excel; sql; analyst; dashboard; reporting,True,"Senior Data Analyst - Thu Nhập Cạnh Tranh, Từ 3 Năm Kinh Nghiệm; Lead Data Analyst; Lead Phân Tích Dữ Liệu; Data Analyst; Finance & Data Specialist"
0,60,8.3,BUSINESS_ANALYST,15,25.0,"BUSINESS_ANALYST (15, 25.0%); DATA_ANALYST (15, 25.0%); DATA_ENGINEER (7, 11.7%); AI_ENGINEER (7, 11.7%); DATA_SCIENTIST (5, 8.3%)","Analytics (31, 51.7%); AI / Machine Learning (14, 23.3%); Data Engineering (9, 15.0%); Data Leadership (4, 6.7%)",phap; thuat; tang; tao; huong; nhu; lap; cuu; nghien cuu; nghien,False,Giám đốc Trung tâm Trí tuệ nhân tạo; Nhân viên Phân tích nghiệp vụ; IT Automation Developer; IT Business Analyst; AI Engineer
5,55,7.6,RISK_FRAUD_ANALYST,20,36.4,"RISK_FRAUD_ANALYST (20, 36.4%); BUSINESS_ANALYST (12, 21.8%); DATA_GOVERNANCE (11, 20.0%); DATA_ANALYST (6, 10.9%); DATA_ENGINEER (2, 3.6%)","Analytics (41, 74.5%); Governance & Architecture (11, 20.0%); Data Engineering (2, 3.6%); AI / Machine Learning (1, 1.8%)",rui; ngan; khoi; chung; tuan; soat; thieu; khoa; data science; risk,True,"Chuyên viên, Chuyên viên cao cấp Xây dựng Mô hình rủi ro - Risk Modeling Specialist, Senior Specialist - Khối Quản trị rủi ro; Chuyên viên Mô hình rủi ro - Data Science & Risk Modeling Spealist - Khối Quản trị rủi ro; Chuyên Gia Chiến Lược Rủi Ro - Id2201; Chuyên Viên Cao Cấp Quản Trị Rủi Ro Công Nghệ - Senior IT Risks Management Specialist - Khối Quản Trị Rủi Ro; Chuyên viên, Chuyên viên cao cấp mảng Chính sách rủi ro tín dụng - Credit Risk Policy Specialist, Senior Specialist - Khối Quản trị rủi ro"
8,42,5.8,DATA_ENGINEER,13,31.0,"DATA_ENGINEER (13, 31.0%); DBA_DATABASE (10, 23.8%); DATA_ANALYST (10, 23.8%); BI (4, 9.5%); DATA_SCIENTIST (2, 4.8%)","Data Engineering (23, 54.8%); Analytics (15, 35.7%); AI / Machine Learning (2, 4.8%); Governance & Architecture (2, 4.8%)",oracle; sql server; server; sql; mysql; postgresql; sql sql; database; etl; oracle postgresql,True,CVC/CVCC Vận Hành Cơ Sở Dữ Liệu; Data Engineer Lead; ICT Database Administration Supervisor; Data Engineer; BI Engineer
6,16,2.2,AI_ENGINEER,4,25.0,"AI_ENGINEER (4, 25.0%); DATA_ANALYST (3, 18.8%); RISK_FRAUD_ANALYST (3, 18.8%); BUSINESS_ANALYST (2, 12.5%); DATA_ARCHITECT (1, 6.2%)","Analytics (8, 50.0%); AI / Machine Learning (5, 31.2%); Governance & Architecture (2, 12.5%); Data Engineering (1, 6.2%)",thoai; email; ngay; sinh gioi; chuong; ai trung; lich hen; hen; email truong; truong bat,True,Chuyên viên Quản trị Hiệu quả & Danh mục SME - Khối Khách hàng vừa và nhỏ; Business Analyst -Khối Công nghệ thông tin; Data Analyst - Data Division; Chuyên viên - Phòng Giám sát giao dịch và Quản lý rủi ro - Risk Management - Khối Vận hành; Data Architect - Data Division
