k,npmi_coherence,reconstruction_error,topic_diversity,mean_dominant_topic_share
5,0.3629,24.6575,0.96,0.688
6,0.3832,24.511,0.95,0.6597
7,0.415,24.3627,0.9429,0.6024
8,0.4341,24.2499,0.9625,0.5885
9,0.4479,24.1598,0.9556,0.5722
10,0.4374,24.0418,0.95,0.5602
