k,silhouette_cosine,calinski_harabasz,davies_bouldin
3,0.1387,64.14,3.0509
4,0.1534,59.87,2.9561
5,0.1669,56.99,2.6739
6,0.1835,53.61,2.6429
7,0.1885,50.09,2.4693
8,0.1905,47.68,2.3026
