cluster_id,skill,skill_n_in_cluster,cluster_n_jobs,skill_share_in_cluster,skill_n_overall,total_clustered_jobs,skill_share_overall,lift
6,ELT,11,124,8.9,63,709,8.9,1.0
6,MySQL,10,124,8.1,45,709,6.3,1.27
6,PostgreSQL,10,124,8.1,66,709,9.3,0.87
6,Data Governance,10,124,8.1,77,709,10.9,0.74
6,Data Pipeline,10,124,8.1,93,709,13.1,0.61
6,Data Mining,9,124,7.3,21,709,3.0,2.45
6,Pandas,9,124,7.3,23,709,3.2,2.24
6,Data Lake,9,124,7.3,67,709,9.4,0.77
6,GCP,9,124,7.3,81,709,11.4,0.64
6,Azure,9,124,7.3,95,709,13.4,0.54
6,Qlik,8,124,6.5,10,709,1.4,4.57
6,Spark,8,124,6.5,79,709,11.1,0.58
6,Business Analysis,8,124,6.5,124,709,17.5,0.37
6,Snowflake,6,124,4.8,28,709,3.9,1.23
6,Git,6,124,4.8,72,709,10.2,0.48
6,AI,6,124,4.8,147,709,20.7,0.23
6,scikit-learn,5,124,4.0,34,709,4.8,0.84
6,NumPy,4,124,3.2,15,709,2.1,1.52
6,dbt,4,124,3.2,36,709,5.1,0.64
6,Deep Learning,4,124,3.2,64,709,9.0,0.36
6,API,4,124,3.2,139,709,19.6,0.16
6,Redshift,3,124,2.4,19,709,2.7,0.9
6,MongoDB,3,124,2.4,29,709,4.1,0.59
6,Databricks,3,124,2.4,31,709,4.4,0.55
6,Hadoop,3,124,2.4,37,709,5.2,0.46
6,NLP,3,124,2.4,48,709,6.8,0.36
6,Airflow,3,124,2.4,58,709,8.2,0.3
6,Agile,3,124,2.4,72,709,10.2,0.24
6,SSIS,2,124,1.6,10,709,1.4,1.14
6,JavaScript,2,124,1.6,30,709,4.2,0.38
6,Computer Vision,2,124,1.6,46,709,6.5,0.25
6,Kubernetes,2,124,1.6,51,709,7.2,0.22
6,NoSQL,2,124,1.6,51,709,7.2,0.22
6,Docker,2,124,1.6,73,709,10.3,0.16
6,Google Sheets,1,124,0.8,19,709,2.7,0.3
6,Java,1,124,0.8,47,709,6.6,0.12
6,Kafka,1,124,0.8,48,709,6.8,0.12
6,LLM,1,124,0.8,118,709,16.6,0.05
7,AI,82,113,72.6,147,709,20.7,3.5
7,LLM,76,113,67.3,118,709,16.6,4.04
7,Python,75,113,66.4,313,709,44.1,1.5
7,Machine Learning,74,113,65.5,219,709,30.9,2.12
7,API,68,113,60.2,139,709,19.6,3.07
7,Database,44,113,38.9,202,709,28.5,1.37
7,English,44,113,38.9,243,709,34.3,1.14
7,Cloud,33,113,29.2,150,709,21.2,1.38
7,Git,30,113,26.5,72,709,10.2,2.61
7,Docker,30,113,26.5,73,709,10.3,2.58
7,CI/CD,26,113,23.0,69,709,9.7,2.36
7,SQL,26,113,23.0,344,709,48.5,0.47
7,JavaScript,25,113,22.1,30,709,4.2,5.23
7,NLP,24,113,21.2,48,709,6.8,3.14
7,AWS,24,113,21.2,115,709,16.2,1.31
7,Data Science,24,113,21.2,151,709,21.3,1.0
7,Data Management,24,113,21.2,201,709,28.3,0.75
7,Azure,22,113,19.5,95,709,13.4,1.45
7,GCP,18,113,15.9,81,709,11.4,1.39
7,Deep Learning,17,113,15.0,64,709,9.0,1.67
7,Kubernetes,15,113,13.3,51,709,7.2,1.85
7,Reporting,15,113,13.3,276,709,38.9,0.34
7,Computer Vision,14,113,12.4,46,709,6.5,1.91
7,Java,13,113,11.5,47,709,6.6,1.74
7,Big Data,13,113,11.5,108,709,15.2,0.76
7,Data Pipeline,12,113,10.6,93,709,13.1,0.81
7,C#,11,113,9.7,17,709,2.4,4.06
7,Linux,11,113,9.7,26,709,3.7,2.65
7,PostgreSQL,11,113,9.7,66,709,9.3,1.05
7,Agile,11,113,9.7,72,709,10.2,0.96
7,NoSQL,10,113,8.8,51,709,7.2,1.23
7,Data Engineering,10,113,8.8,100,709,14.1,0.63
7,Data Analysis,9,113,8.0,285,709,40.2,0.2
7,Data Quality,8,113,7.1,115,709,16.2,0.44
7,Statistics,7,113,6.2,117,709,16.5,0.38
7,Redis,6,113,5.3,18,709,2.5,2.09
7,MongoDB,6,113,5.3,29,709,4.1,1.3
7,Kafka,6,113,5.3,48,709,6.8,0.78
7,A/B Testing,5,113,4.4,19,709,2.7,1.65
7,ERP,5,113,4.4,58,709,8.2,0.54
7,ETL,5,113,4.4,128,709,18.1,0.25
7,Data Warehouse,5,113,4.4,141,709,19.9,0.22
7,Terraform,4,113,3.5,11,709,1.6,2.28
7,Elasticsearch,4,113,3.5,15,709,2.1,1.67
7,C++,3,113,2.7,14,709,2.0,1.34
7,Databricks,3,113,2.7,31,709,4.4,0.61
7,Data Modeling,3,113,2.7,85,709,12.0,0.22
7,Business Analysis,3,113,2.7,124,709,17.5,0.15
7,Google Sheets,2,113,1.8,19,709,2.7,0.66
7,Data Mining,2,113,1.8,21,709,3.0,0.6
7,BigQuery,2,113,1.8,34,709,4.8,0.37
7,MySQL,2,113,1.8,45,709,6.3,0.28
7,Airflow,2,113,1.8,58,709,8.2,0.22
7,SQL Server,2,113,1.8,58,709,8.2,0.22
7,Oracle,2,113,1.8,74,709,10.4,0.17
7,Data Governance,2,113,1.8,77,709,10.9,0.16
7,Spark,2,113,1.8,79,709,11.1,0.16
7,Excel,2,113,1.8,105,709,14.8,0.12
7,Power BI,2,113,1.8,176,709,24.8,0.07
7,NumPy,1,113,0.9,15,709,2.1,0.42
7,Pandas,1,113,0.9,23,709,3.2,0.27
7,Hadoop,1,113,0.9,37,709,5.2,0.17
7,Business Intelligence,1,113,0.9,57,709,8.0,0.11
7,PyTorch,1,113,0.9,59,709,8.3,0.11
7,TensorFlow,1,113,0.9,57,709,8.0,0.11
7,ELT,1,113,0.9,63,709,8.9,0.1
7,Data Visualization,1,113,0.9,77,709,10.9,0.08
7,Tableau,1,113,0.9,92,709,13.0,0.07
