antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
Data Management + Data Warehouse,ETL,80,128,52,7.84,0.65,3.367,2.132166500185508e-22,True,True
Data Warehouse + ETL,Data Management,82,200,52,7.84,0.634,2.102,2.42385972200216e-11,True,True
Data Modeling,Reporting,85,273,52,7.84,0.612,1.486,5.5892426024786717e-05,False,False
Big Data,Machine Learning,108,219,52,7.84,0.481,1.458,0.00026197036847871064,False,False
Data Quality,Data Analysis,114,272,52,7.84,0.456,1.112,0.16108723616349016,False,False
AI,Cloud,147,150,52,7.84,0.354,1.564,4.004664949437738e-05,False,False
PyTorch,Machine Learning,59,219,51,7.69,0.864,2.617,6.658702423172033e-19,True,True
Power BI + Statistics,Reporting,63,273,51,7.69,0.81,1.966,1.4152773141591907e-11,True,True
PostgreSQL,Database,66,202,51,7.69,0.773,2.536,1.3545260853555771e-16,True,True
Data Management + English,Python,66,313,51,7.69,0.773,1.637,1.5816743346689989e-07,True,True
Reporting + Statistics,Power BI,72,176,51,7.69,0.708,2.668,6.25213165454277e-17,True,True
Data Analysis + Data Science,SQL,73,344,51,7.69,0.699,1.346,0.0007555604472011617,False,False
Data Warehouse + Reporting,Data Management,80,200,51,7.69,0.637,2.113,2.9797318805821826e-11,True,True
Data Management + Data Warehouse,Reporting,80,273,51,7.69,0.637,1.548,1.2168135016603505e-05,True,True
Data Modeling,Python,85,313,51,7.69,0.6,1.271,0.007879955177485196,False,False
Data Science + SQL,Data Analysis,87,272,51,7.69,0.586,1.429,0.0002970550218537706,False,False
English + Machine Learning,AI,93,147,51,7.69,0.548,2.473,5.89642529176526e-14,True,True
Data Management + Reporting,Data Warehouse,105,141,51,7.69,0.486,2.284,5.300295234639652e-12,True,True
Big Data,Database,108,202,51,7.69,0.472,1.55,4.565684268498511e-05,False,False
Big Data,Data Analysis,108,272,51,7.69,0.472,1.151,0.0931872626025019,False,False
AWS,English,115,241,51,7.69,0.443,1.22,0.03273879702805848,False,False
Python + Tableau,SQL,54,344,50,7.54,0.926,1.785,2.200314372553696e-11,True,True
AWS + Database,Python,60,313,50,7.54,0.833,1.765,1.645439140265279e-09,True,True
Azure + Python,Cloud,62,150,50,7.54,0.806,3.565,8.95883119339444e-25,True,True
API + English,Python,64,313,50,7.54,0.781,1.655,1.1282515720571722e-07,True,True
Azure + Cloud,Python,67,313,50,7.54,0.746,1.581,1.4842388928564883e-06,True,True
Cloud + Database,Python,67,313,50,7.54,0.746,1.581,1.4842388928564883e-06,True,True
ETL + Reporting,Data Warehouse,72,141,50,7.54,0.694,3.265,4.154845211399935e-21,True,True
AWS + Python,Database,86,202,50,7.54,0.581,1.908,9.54795230915189e-09,True,True
Power BI + Python,Tableau,90,92,50,7.54,0.556,4.004,1.674597506595463e-25,True,True
API + Python,English,97,241,50,7.54,0.515,1.418,0.0006750683603772394,False,False
Data Engineering,ETL,100,128,50,7.54,0.5,2.59,1.850942243832587e-14,True,True
Database + Python,AWS,123,115,50,7.54,0.407,2.344,3.5216442056097514e-12,True,True
Database + Python,API,123,138,50,7.54,0.407,1.953,1.4267435452678305e-08,True,True
Database + Python,Cloud,123,150,50,7.54,0.407,1.797,4.054480977703812e-07,True,True
ETL,Data Engineering,128,100,50,7.54,0.391,2.59,1.850942243832587e-14,True,True
English + Python,API,130,138,50,7.54,0.385,1.848,1.4144052137669073e-07,True,True
Data Warehouse + Power BI,SQL,55,344,49,7.39,0.891,1.717,1.1587304491935338e-09,True,True
Big Data + Reporting,SQL,58,344,49,7.39,0.845,1.628,6.169428821988181e-08,True,True
PostgreSQL,SQL,66,344,49,7.39,0.742,1.431,8.108434517723761e-05,False,False
Big Data + SQL,Reporting,80,273,49,7.39,0.613,1.488,9.246884612639772e-05,False,False
Machine Learning + SQL,Data Management,107,200,49,7.39,0.458,1.518,0.00013928382297748803,False,False
Big Data,ETL,108,128,49,7.39,0.454,2.35,5.474995287657107e-12,True,True
ETL,Big Data,128,108,49,7.39,0.383,2.35,5.474995287657107e-12,True,True
ETL,Power BI,128,176,49,7.39,0.383,1.442,0.0007980720487514023,False,False
API,Cloud,138,150,49,7.39,0.355,1.569,6.748906288715145e-05,False,False
Power BI + SQL,Data Warehouse,139,141,49,7.39,0.353,1.658,1.1090225801348103e-05,True,True
Data Modeling + Python,SQL,51,344,48,7.24,0.941,1.814,1.1780797377808837e-11,True,True
AI + SQL,Python,54,313,48,7.24,0.889,1.883,2.735037570669924e-11,True,True
TensorFlow,Machine Learning,57,219,48,7.24,0.842,2.549,8.910067490512248e-17,True,True
Data Management + Data Quality,SQL,58,344,48,7.24,0.828,1.595,3.2563264865093165e-07,True,True
Python + Spark,SQL,58,344,48,7.24,0.828,1.595,3.2563264865093165e-07,True,True
SQL + Spark,Python,59,313,48,7.24,0.814,1.723,1.8424321565372817e-08,True,True
Big Data + Data Management,SQL,60,344,48,7.24,0.8,1.542,2.3886911016853965e-06,True,True
Azure + Python,GCP,62,81,48,7.24,0.774,6.337,1.9092647793448757e-38,True,True
Excel + SQL,Data Analysis,64,272,48,7.24,0.75,1.828,7.10690136787793e-09,True,True
Excel + SQL,Reporting,64,273,48,7.24,0.75,1.821,8.283788363616325e-09,True,True
Database + ETL,Data Warehouse,66,141,48,7.24,0.727,3.42,1.2709849202270637e-21,True,True
Cloud + Database,AWS,67,115,48,7.24,0.716,4.13,4.6401229545879733e-26,True,True
Data Modeling + SQL,Python,70,313,48,7.24,0.686,1.452,0.00011652661701178418,False,False
Data Warehouse + Database,ETL,71,128,48,7.24,0.676,3.502,1.2377195742022348e-21,True,True
Data Analysis + Excel,SQL,71,344,48,7.24,0.676,1.303,0.0034244195012849764,False,False
Spark,Data Management,79,200,48,7.24,0.608,2.014,1.656645090713476e-09,True,True
Data Warehouse + ETL,Database,82,202,48,7.24,0.585,1.921,1.5171210260899993e-08,True,True
Database + Reporting,Data Management,83,200,48,7.24,0.578,1.917,1.8039304852990737e-08,True,True
Data Quality + SQL,Data Management,84,200,48,7.24,0.571,1.894,3.137720579947755e-08,True,True
Machine Learning + SQL,Data Science,107,151,48,7.24,0.449,1.97,1.9724592012220904e-08,True,True
Python + Reporting,Data Warehouse,114,141,48,7.24,0.421,1.98,1.817269918886335e-08,True,True
LLM,Cloud,117,150,48,7.24,0.41,1.813,5.519035928461951e-07,True,True
Data Analysis + Python,Data Science,118,151,48,7.24,0.407,1.786,9.705016431618426e-07,True,True
Data Management + SQL,Big Data,133,108,48,7.24,0.361,2.216,1.4803649969427814e-10,True,True
Data Management + SQL,Data Quality,133,114,48,7.24,0.361,2.099,1.6464335394940431e-09,True,True
Data Modeling + Reporting,SQL,52,344,47,7.09,0.904,1.742,8.407484560058863e-10,True,True
Database + LLM,Python,53,313,47,7.09,0.887,1.878,5.588901393856283e-11,True,True
Python + Tableau,Data Analysis,54,272,47,7.09,0.87,2.122,3.9902964734793366e-13,True,True
Data Management + Data Pipeline,SQL,54,344,47,7.09,0.87,1.677,1.5787579268728197e-08,True,True
AWS + Machine Learning,Python,58,313,47,7.09,0.81,1.716,3.426132491908119e-08,True,True
SQL Server,SQL,58,344,47,7.09,0.81,1.562,1.5238982629494716e-06,True,True
Airflow,SQL,58,344,47,7.09,0.81,1.562,1.5238982629494716e-06,True,True
Data Science + Reporting,SQL,67,344,47,7.09,0.701,1.352,0.0010908944367810048,False,False
API + Machine Learning,AI,69,147,47,7.09,0.681,3.072,2.9399378465086115e-18,True,True
Data Modeling + SQL,Reporting,70,273,47,7.09,0.671,1.631,3.268913641407779e-06,True,True
Data Analysis + Tableau,Python,70,313,47,7.09,0.671,1.422,0.00031178532852782986,False,False
Excel + Reporting,Power BI,71,176,47,7.09,0.662,2.494,1.0000695273183886e-13,True,True
Data Warehouse + Database,Data Management,71,200,47,7.09,0.662,2.194,2.966907666730942e-11,True,True
Agile,English,72,241,47,7.09,0.653,1.796,1.2090581352287584e-07,True,True
Data Pipeline + SQL,Data Management,73,200,47,7.09,0.644,2.134,1.342771908301267e-10,True,True
Data Visualization,Python,77,313,47,7.09,0.61,1.293,0.006831432025468314,False,False
Big Data + SQL,Data Warehouse,80,141,47,7.09,0.588,2.763,3.0027373960652115e-15,True,True
Database + Machine Learning,AI,80,147,47,7.09,0.588,2.65,2.1722160332417425e-14,True,True
Data Management + Data Warehouse,Database,80,202,47,7.09,0.588,1.928,1.9032961288809002e-08,True,True
Data Quality + SQL,Data Warehouse,84,141,47,7.09,0.56,2.631,4.419339800832238e-14,True,True
Data Modeling,ETL,85,128,47,7.09,0.553,2.864,8.126308587311781e-16,True,True
Data Management + Database,Data Warehouse,91,141,47,7.09,0.516,2.429,2.7804929596325486e-12,True,True
Data Pipeline,ETL,93,128,47,7.09,0.505,2.618,9.72797571584811e-14,True,True
LLM + Python,Database,93,202,47,7.09,0.505,1.659,9.642476048663007e-06,True,True
Azure,Machine Learning,95,219,47,7.09,0.495,1.498,0.0002458347968584594,False,False
Data Engineering,Data Warehouse,100,141,47,7.09,0.47,2.21,2.462193264870239e-10,True,True
Data Engineering,Cloud,100,150,47,7.09,0.47,2.077,3.182338017162203e-09,True,True
Python + Reporting,Statistics,114,116,47,7.09,0.412,2.356,1.853916981328469e-11,True,True
AWS,Data Management,115,200,47,7.09,0.409,1.355,0.0047568664764894965,False,False
Statistics,Data Management,116,200,47,7.09,0.405,1.343,0.005868469681083244,False,False
Data Analysis + Python,Tableau,118,92,47,7.09,0.398,2.87,1.0754386354185314e-15,True,True
Database + Python,LLM,123,117,47,7.09,0.382,2.165,7.612219745642177e-10,True,True
ETL,Data Modeling,128,85,47,7.09,0.367,2.864,8.126308587311781e-16,True,True
ETL,Data Pipeline,128,93,47,7.09,0.367,2.618,9.72797571584811e-14,True,True
Power BI + Reporting,Excel,131,105,47,7.09,0.359,2.265,9.649703619700865e-11,True,True
Data Management + SQL,Data Pipeline,133,93,47,7.09,0.353,2.519,5.794512200659417e-13,True,True
ETL + Power BI,SQL,49,344,46,6.94,0.939,1.809,4.445088372004395e-11,True,True
NoSQL,Database,51,202,46,6.94,0.902,2.96,1.9407674519829616e-20,True,True
Data Visualization + Power BI,SQL,54,344,46,6.94,0.852,1.642,9.979505679968623e-08,True,True
Data Visualization + SQL,Power BI,59,176,46,6.94,0.78,2.937,4.7920263712410905e-18,True,True
ELT,Python,63,313,46,6.94,0.73,1.547,1.1913029592882128e-05,True,True
CI/CD,Python,69,313,46,6.94,0.667,1.412,0.00047234879226726865,False,False
ETL + Reporting,Data Management,72,200,46,6.94,0.639,2.118,3.3386836523803405e-10,True,True
Data Management + ETL,Reporting,72,273,46,6.94,0.639,1.552,3.31611943458944e-05,False,False
API + SQL,Database,74,202,46,6.94,0.622,2.04,1.978597448296155e-09,True,True
Data Governance,SQL,74,344,46,6.94,0.622,1.198,0.039236807592303836,False,False
Data Modeling,Data Management,85,200,46,6.94,0.541,1.794,6.553508665911718e-07,True,True
Power BI + Python,Data Management,90,200,46,6.94,0.511,1.694,5.940261631046821e-06,True,True
Data Pipeline,English,93,241,46,6.94,0.495,1.361,0.0036409996037951435,False,False
Azure,Database,95,202,46,6.94,0.484,1.589,5.421456866227893e-05,False,False
Data Management + Reporting,ETL,105,128,46,6.94,0.438,2.269,1.6472288596219978e-10,True,True
ETL,Cloud,128,150,46,6.94,0.359,1.588,8.820638065591344e-05,False,False
Data Management + Python,Power BI,129,176,46,6.94,0.357,1.343,0.007047038072429108,False,False
ELT + Python,SQL,46,344,45,6.79,0.978,1.885,8.266407283908704e-13,True,True
ELT + SQL,Python,57,313,45,6.79,0.789,1.672,3.1539936009908685e-07,True,True
Big Data + Data Management,Python,60,313,45,6.79,0.75,1.589,4.382337489883244e-06,True,True
Data Management + Data Science,Python,63,313,45,6.79,0.714,1.513,3.9143732287001255e-05,False,False
Excel + SQL,Power BI,64,176,45,6.79,0.703,2.649,1.1435245610616691e-14,True,True
Data Lake,ETL,67,128,45,6.79,0.672,3.479,5.619564721110713e-20,True,True
Big Data + Python,Data Management,67,200,45,6.79,0.672,2.226,4.064970181679883e-11,True,True
Data Analysis + Database,Reporting,69,273,45,6.79,0.652,1.584,1.8444248188442635e-05,False,True
Git,API,72,138,45,6.79,0.625,3.003,1.724646117014349e-16,True,True
Data Analysis + Data Science,Statistics,73,116,45,6.79,0.616,3.523,7.989030590161148e-20,True,True
Docker,Database,73,202,45,6.79,0.616,2.023,4.656347902806279e-09,True,True
Docker,Machine Learning,73,219,45,6.79,0.616,1.866,9.715574373381348e-08,True,True
Cloud + SQL,Database,79,202,45,6.79,0.57,1.87,1.589671425012956e-07,True,True
ETL + Python,ELT,83,63,45,6.79,0.542,5.706,3.121680459461056e-32,True,True
Data Quality + SQL,ETL,84,128,45,6.79,0.536,2.775,2.2736114897094078e-14,True,True
Data Science + Python,Data Management,92,200,45,6.79,0.489,1.621,3.564860173801291e-05,False,False
Data Pipeline,Database,93,202,45,6.79,0.484,1.588,6.862717575481675e-05,False,False
Python + Reporting,ETL,114,128,45,6.79,0.395,2.045,2.050413643799087e-08,True,True
ETL,Data Lake,128,67,45,6.79,0.352,3.479,5.619564721110713e-20,True,True
Data Quality + Database,SQL,53,344,44,6.64,0.83,1.6,9.309744534343355e-07,True,True
Data Warehouse + Power BI,Reporting,55,273,44,6.64,0.8,1.943,1.0050020295948295e-09,True,True
Power BI + Statistics,Python,63,313,44,6.64,0.698,1.479,0.00011874199060242688,False,False
API + Machine Learning,LLM,69,117,44,6.64,0.638,3.614,4.9785749622548633e-20,True,True
CI/CD,SQL,69,344,44,6.64,0.638,1.229,0.024474785458662652,False,False
Python + Statistics,Power BI,72,176,44,6.64,0.611,2.302,5.087035130361904e-11,True,True
Git,SQL,72,344,44,6.64,0.611,1.178,0.06200366007103661,False,False
Docker,API,73,138,44,6.64,0.603,2.896,3.1519652554671077e-15,True,True
Docker,AI,73,147,44,6.64,0.603,2.718,5.243527439957452e-14,True,True
Data Warehouse + Reporting,Power BI,80,176,44,6.64,0.55,2.072,6.805322648650304e-09,True,True
Data Quality + SQL,Database,84,202,44,6.64,0.524,1.719,5.7821191215760835e-06,True,True
Data Science + SQL,Data Management,87,200,44,6.64,0.506,1.677,1.4586979500356943e-05,False,True
Power BI + Python,Statistics,90,116,44,6.64,0.489,2.794,5.424397745710052e-14,True,True
AWS,ETL,115,128,44,6.64,0.383,1.982,1.027834607827862e-07,True,True
Database + Python,ETL,123,128,44,6.64,0.358,1.853,1.1179824755837702e-06,True,True
Data Analysis + Power BI,Excel,124,105,44,6.64,0.355,2.241,8.963894143898712e-10,True,True
Java,Python,47,313,43,6.49,0.915,1.938,3.6309356024561414e-11,True,True
NLP,Machine Learning,48,219,43,6.49,0.896,2.712,3.349734978579799e-17,True,True
NoSQL,SQL,51,344,43,6.49,0.843,1.625,5.234523629036777e-07,True,True
Database + LLM,AI,53,147,43,6.49,0.811,3.659,1.0252086113114605e-21,True,True
AI + SQL,Machine Learning,54,219,43,6.49,0.796,2.411,2.6032159180581164e-13,True,True
ELT,Data Management,63,200,43,6.49,0.683,2.263,5.363724002469392e-11,True,True
AI + Database,LLM,65,117,43,6.49,0.662,3.749,1.7290534693770208e-20,True,True
Database + ETL,Data Management,66,200,43,6.49,0.652,2.16,5.736967008099613e-10,True,True
CI/CD,Cloud,69,150,43,6.49,0.623,2.754,4.63174596725471e-14,True,True
AWS + SQL,Database,70,202,43,6.49,0.614,2.016,1.3228078711683514e-08,True,True
Data Management + ETL,ELT,72,63,43,6.49,0.597,6.285,6.874612265022876e-33,True,True
Data Management + ETL,Database,72,202,43,6.49,0.597,1.96,4.558183165313297e-08,True,True
Oracle,Reporting,74,273,43,6.49,0.581,1.411,0.0013924094630069544,False,False
Spark,AWS,79,115,43,6.49,0.544,3.138,4.1748926189399877e-16,True,True
Spark,Cloud,79,150,43,6.49,0.544,2.406,3.7693099966078364e-11,True,True
GCP,Machine Learning,81,219,43,6.49,0.531,1.607,5.5306635238594564e-05,False,False
Data Science + SQL,Statistics,87,116,43,6.49,0.494,2.825,7.213924277851705e-14,True,True
Data Management + Database,ETL,91,128,43,6.49,0.473,2.448,3.591467491957422e-11,True,True
AWS,Spark,115,79,43,6.49,0.374,3.138,4.1748926189399877e-16,True,True
GCP + SQL,Python,45,313,42,6.33,0.933,1.977,1.1514209318730509e-11,True,True
Database + Power BI,SQL,47,344,42,6.33,0.894,1.722,1.807232510834714e-08,True,True
Data Visualization + Python,SQL,47,344,42,6.33,0.894,1.722,1.807232510834714e-08,True,True
NLP,Python,48,313,42,6.33,0.875,1.853,1.8619721211218013e-09,True,True
Big Data + Data Analysis,SQL,51,344,42,6.33,0.824,1.587,2.660483816537692e-06,True,True
AI + Cloud,Python,52,313,42,6.33,0.808,1.711,2.538437341070312e-07,True,True
Machine Learning + Statistics,Python,54,313,42,6.33,0.778,1.647,1.7818001804457533e-06,True,True
Business Intelligence,Reporting,56,273,42,6.33,0.75,1.821,8.662241522035385e-08,True,True
Airflow,Python,58,313,42,6.33,0.724,1.534,4.317820334566928e-05,False,False
Data Visualization + SQL,Python,59,313,42,6.33,0.712,1.508,8.495591031221529e-05,False,False
Data Science + Statistics,Python,61,313,42,6.33,0.689,1.458,0.00029171847257216353,False,False
Deep Learning,AI,64,147,42,6.33,0.656,2.96,2.6721741925457265e-15,True,True
Python + Statistics,Data Science,72,151,42,6.33,0.583,2.561,3.5994968644584264e-12,True,True
Python + Statistics,Machine Learning,72,219,42,6.33,0.583,1.766,2.580028014376841e-06,True,True
Data Science + Python,Statistics,92,116,42,6.33,0.457,2.609,5.634271096859185e-12,True,True
Azure,English,95,241,42,6.33,0.442,1.216,0.055254559645139256,False,False
Data Engineering,Data Quality,100,114,42,6.33,0.42,2.443,9.328110761595711e-11,True,True
Data Engineering,Database,100,202,42,6.33,0.42,1.379,0.005350752608610568,False,False
Cloud + Python,AI,103,147,42,6.33,0.408,1.839,2.5000986242677307e-06,True,True
Data Quality,Data Engineering,114,100,42,6.33,0.368,2.443,9.328110761595711e-11,True,True
GCP + Machine Learning,AWS,43,115,41,6.18,0.953,5.497,4.584860144681382e-32,True,True
Data Lake + ETL,Data Warehouse,45,141,41,6.18,0.911,4.284,1.1235166208515471e-25,True,True
Computer Vision,Machine Learning,46,219,41,6.18,0.891,2.698,3.243890958975636e-16,True,True
Data Pipeline + English,Python,46,313,41,6.18,0.891,1.888,8.278940863715068e-10,True,True
Kubernetes,Docker,51,73,41,6.18,0.804,7.301,9.496888719731975e-36,True,True
Cloud + Data Management,Python,51,313,41,6.18,0.804,1.703,4.640213180093517e-07,True,True
Big Data + Database,SQL,51,344,41,6.18,0.804,1.549,1.184337144898485e-05,True,True
Data Analysis + Data Quality,SQL,52,344,41,6.18,0.788,1.52,2.912471479650014e-05,False,True
AWS + Machine Learning,GCP,58,81,41,6.18,0.707,5.786,3.3789235645792394e-29,True,True
Cloud + English,AWS,58,115,41,6.18,0.707,4.075,1.5325488534708785e-21,True,True
PyTorch,AI,59,147,41,6.18,0.695,3.134,2.593109340254002e-16,True,True
CI/CD,API,69,138,41,6.18,0.594,2.855,7.863539793663903e-14,True,True
Docker,Kubernetes,73,51,41,6.18,0.562,7.301,9.496888719731975e-36,True,True
Data Pipeline + SQL,ETL,73,128,41,6.18,0.562,2.909,5.528253756199185e-14,True,True
Data Governance,Data Quality,74,114,41,6.18,0.554,3.222,7.734499832525045e-16,True,True
Data Analysis + Machine Learning,Statistics,78,116,41,6.18,0.526,3.004,2.0963364819568657e-14,True,True
Data Management + Machine Learning,Database,78,202,41,6.18,0.526,1.725,1.1734262752949882e-05,True,True
Spark,Big Data,79,108,41,6.18,0.519,3.186,1.7618234412547514e-15,True,True
Big Data + SQL,ETL,80,128,41,6.18,0.512,2.655,3.8492774685345735e-12,True,True
Database + Machine Learning,Data Management,80,200,41,6.18,0.512,1.699,2.026858882787552e-05,False,True
Data Warehouse + ETL,Data Lake,82,67,41,6.18,0.5,4.948,4.837494432043852e-25,True,True
Data Management + Database,Machine Learning,91,219,41,6.18,0.451,1.364,0.006846672608040548,False,False
Tableau,Statistics,92,116,41,6.18,0.446,2.547,3.113023226883468e-11,True,True
Big Data,Spark,108,79,41,6.18,0.38,3.186,1.7618234412547514e-15,True,True
Data Quality,Data Governance,114,74,41,6.18,0.36,3.222,7.734499832525045e-16,True,True
Python + Reporting,Data Science,114,151,41,6.18,0.36,1.579,0.00029328653911896244,False,False
Statistics,Tableau,116,92,41,6.18,0.353,2.547,3.113023226883468e-11,True,True
Data Pipeline + Database,Python,45,313,40,6.03,0.889,1.883,1.6750541990000464e-09,True,True
Docker + Machine Learning,Python,45,313,40,6.03,0.889,1.883,1.6750541990000464e-09,True,True
AWS + Data Management,Python,47,313,40,6.03,0.851,1.803,2.801501892644723e-08,True,True
Data Management + Spark,SQL,48,344,40,6.03,0.833,1.606,2.6245469675903708e-06,True,True
ETL + Power BI,Reporting,49,273,40,6.03,0.816,1.983,2.136537985022557e-09,True,True
Data Quality + ETL,Data Warehouse,53,141,40,6.03,0.755,3.549,8.100391081143049e-19,True,True
Azure + SQL,Python,53,313,40,6.03,0.755,1.599,1.2637904992840825e-05,False,True
Data Quality + Data Warehouse,ETL,55,128,40,6.03,0.727,3.767,1.1953696626793232e-19,True,True
SQL + Spark,Data Management,59,200,40,6.03,0.678,2.247,4.129950732540244e-10,True,True
Docker + Python,Machine Learning,60,219,40,6.03,0.667,2.018,2.252317018046713e-08,True,True
Power BI + Statistics,Tableau,63,92,40,6.03,0.635,4.576,9.090576799088841e-23,True,True
API + English,SQL,64,344,40,6.03,0.625,1.205,0.048264995952290037,False,False
AI + Database,API,65,138,40,6.03,0.615,2.957,3.138080763448717e-14,True,True
AI + API,Database,66,202,40,6.03,0.606,1.989,8.441043513301276e-08,True,True
PostgreSQL,Python,66,313,40,6.03,0.606,1.284,0.015059005014951578,False,False
Big Data + Python,Machine Learning,67,219,40,6.03,0.597,1.807,2.034644099382066e-06,True,True
CI/CD,AWS,69,115,40,6.03,0.58,3.342,3.1497884609756575e-16,True,True
Data Engineering + SQL,ETL,69,128,40,6.03,0.58,3.003,2.780343776042927e-14,True,True
CI/CD,Database,69,202,40,6.03,0.58,1.903,4.849617518644773e-07,True,True
API + Database,AI,71,147,40,6.03,0.563,2.541,2.4197938387348376e-11,True,True
ETL + Reporting,Power BI,72,176,40,6.03,0.556,2.093,2.7459597978376377e-08,True,True
Git,Database,72,202,40,6.03,0.556,1.823,2.327376534260208e-06,True,True
Oracle,Data Management,74,200,40,6.03,0.541,1.792,4.503574292452387e-06,True,True
API + SQL,English,74,241,40,6.03,0.541,1.487,0.0007475687459349523,False,False
Data Visualization,Statistics,77,116,40,6.03,0.519,2.969,8.543560059750075e-14,True,True
Spark,ETL,79,128,40,6.03,0.506,2.623,1.3181724129916467e-11,True,True
Spark,Database,79,202,40,6.03,0.506,1.662,5.069088252774619e-05,False,False
Database + Machine Learning,English,80,241,40,6.03,0.5,1.376,0.005418861964574581,False,False
Data Warehouse + ETL,Data Quality,82,114,40,6.03,0.488,2.837,6.956994180822111e-13,True,True
ETL + Python,Data Pipeline,83,93,40,6.03,0.482,3.436,2.1016959901940637e-16,True,True
Data Modeling,Data Quality,85,114,40,6.03,0.471,2.737,3.258886783663814e-12,True,True
Data Modeling,Power BI,85,176,40,6.03,0.471,1.773,1.0237088914227222e-05,True,True
Database + English,Machine Learning,85,219,40,6.03,0.471,1.425,0.002823354531295251,False,False
AWS + Python,Data Management,86,200,40,6.03,0.465,1.542,0.00045146461501027984,False,False
English + Machine Learning,LLM,93,117,40,6.03,0.43,2.437,3.41790634147425e-10,True,True
Data Pipeline,Cloud,93,150,40,6.03,0.43,1.901,1.5924934261808882e-06,True,True
English + Machine Learning,Database,93,202,40,6.03,0.43,1.412,0.003945635485617081,False,False
Data Engineering,AWS,100,115,40,6.03,0.4,2.306,2.8530082689049934e-09,True,True
Data Engineering,Data Management,100,200,40,6.03,0.4,1.326,0.01491253875991131,False,False
AI + Python,PyTorch,109,59,40,6.03,0.367,4.124,5.958811254973308e-21,True,True
AI + Machine Learning,Deep Learning,109,64,40,6.03,0.367,3.802,5.917848250409643e-19,True,True
Data Quality,Data Modeling,114,85,40,6.03,0.351,2.737,3.258886783663814e-12,True,True
Python + Reporting,Tableau,114,92,40,6.03,0.351,2.529,8.405397868036591e-11,True,True
Data Quality,Power BI,114,176,40,6.03,0.351,1.322,0.017135707298508822,False,False
AI + Data Science,Machine Learning,42,219,39,5.88,0.929,2.811,6.285267936915136e-17,True,True
LLM + SQL,Python,42,313,39,5.88,0.929,1.967,1.0963931094477272e-10,True,True
GCP + Machine Learning,Python,43,313,39,5.88,0.907,1.921,6.724359732846536e-10,True,True
Computer Vision,Python,46,313,39,5.88,0.848,1.796,5.3918066775487834e-08,True,True
Azure + Machine Learning,AWS,47,115,39,5.88,0.83,4.784,5.04285012272804e-25,True,True
Data Management + Statistics,Data Analysis,47,272,39,5.88,0.83,2.023,1.1959261062105806e-09,True,True
Azure + Machine Learning,Python,47,313,39,5.88,0.83,1.758,1.8019542503956077e-07,True,True
API + Data Management,Python,48,313,39,5.88,0.812,1.721,5.463177657207853e-07,True,True
API + Cloud,Python,49,313,39,5.88,0.796,1.686,1.5207389807240845e-06,True,True
Kubernetes,Database,51,202,39,5.88,0.765,2.51,2.066255662478736e-12,True,True
Big Data + Data Warehouse,Data Management,55,200,39,5.88,0.709,2.351,8.112480320328784e-11,True,True
Business Intelligence,SQL,56,344,39,5.88,0.696,1.342,0.0037959192682586558,False,False
Data Analysis + ETL,Reporting,57,273,39,5.88,0.684,1.662,1.3151883419789443e-05,False,True
AWS + Machine Learning,Azure,58,95,39,5.88,0.672,4.693,6.734637888774348e-23,True,True
SQL Server,ETL,58,128,39,5.88,0.672,3.483,3.5296463394890015e-17,True,True
SQL Server,Data Management,58,200,39,5.88,0.672,2.229,1.0585379107881476e-09,True,True
Big Data + Data Management,Data Warehouse,60,141,39,5.88,0.65,3.056,1.109492668059365e-14,True,True
Azure + Python,Machine Learning,62,219,39,5.88,0.629,1.904,3.9014618934980145e-07,True,True
Data Management + Data Science,Reporting,63,273,39,5.88,0.619,1.503,0.0004017925739329621,False,False
GCP + Python,Machine Learning,65,219,39,5.88,0.6,1.816,2.348822610323604e-06,True,True
Data Science + Reporting,Data Management,67,200,39,5.88,0.582,1.93,4.403524134551842e-07,True,True
Data Quality + Python,Data Management,67,200,39,5.88,0.582,1.93,4.403524134551842e-07,True,True
CI/CD,English,69,241,39,5.88,0.565,1.555,0.00024950304008601766,False,False
Docker,LLM,73,117,39,5.88,0.534,3.027,7.963787518088948e-14,True,True
Oracle,Database,74,202,39,5.88,0.527,1.73,1.8656202039584934e-05,False,True
Data Governance,Reporting,74,273,39,5.88,0.527,1.28,0.02272484706521212,False,False
Data Management + Data Warehouse,Big Data,80,108,39,5.88,0.487,2.993,1.853833066223995e-13,True,True
Database + Machine Learning,LLM,80,117,39,5.88,0.487,2.762,4.286570018507972e-12,True,True
GCP,Data Management,81,200,39,5.88,0.481,1.596,0.00021293442072221918,False,False
GCP,Database,81,202,39,5.88,0.481,1.58,0.00027348742611707196,False,False
Data Analysis + Data Management,Statistics,93,116,39,5.88,0.419,2.397,1.1965782159958018e-09,True,True
Cloud + Python,LLM,103,117,39,5.88,0.379,2.146,6.066374437569154e-08,True,True
Cloud + Python,API,103,138,39,5.88,0.379,1.819,9.953237440350118e-06,True,True
Data Management + Reporting,Data Science,105,151,39,5.88,0.371,1.631,0.0001916783277329982,False,False
Machine Learning + SQL,Big Data,107,108,39,5.88,0.364,2.238,1.4871356039062121e-08,True,True
Machine Learning + SQL,Statistics,107,116,39,5.88,0.364,2.083,1.633600650640903e-07,True,True
